# el-niño-del-pijama-de-rayas
# Total frases: 375 (filtradas y balanceadas)
# ========================================


## EASY (16 frases)

1. [86|dialogue] «Es curioso que nunca me haya preguntado qué hace esa gente ahí —pensó el niño—.
244. [82|descriptive] Pero después de llenar la copa de Padre, se dio la vuelta para servir más vino al teniente Kotler; entonces se le resbaló la bo 148 tella de las manos y derramó parte de su contenido en el regazo del joven soldado.

245. [82|descriptive] Era un asunto que seguía preocupándole y que le hacía sentirse mal, aunque Shmuel, dicho sea en su honor, parecía haberlo olvidado por completo.

246. [82|poetic] Al día siguiente, cuando vio a su amigo, Shmuel se echó a reír de su aspecto, lo cual no ayudó a que Bruno recuperara su mermada autoestima.

247. [82|descriptive] Podía dejarla allí hasta más tarde y resignarse a encontrarla completamente manchada de barro, o podía suspenderlo todo, y eso, como sabe todo buen explorador, estaba descartado.

248. [82|narrative] Estaba satisfecho de sí mismo porque, fuera lo que fuese aquello que se veía y fueran quienes fuesen aquellas personas, él lo había visto primero y podría verlo siempre que quisiera, puesto que se veía desde su ventana y no desde la de Gretel.

249. [82|narrative] Y echó a andar, cruzó el pasillo, entró en su dormitorio y cerró la puerta, aunque no se puso a ordenar las muñecas enseguida.

250. [82|narrative] Sin embargo, ahora tuvo la certeza de que si no hacía algo sensato, algo en lo que pudiera emplear su mente, él también acabaría paseando por las calles, peleándose consigo mismo e invitando a los gatos callejeros a reuniones sociales.

251. [82|narrative] Bruno no había visto mucho a la Abuela desde aquel día, y ni siquiera había tenido ocasión de despedirse de ella antes de viajar a Auchviz, pero la echaba tanto de menos que decidió escribirle una carta.

252. [82|narrative] Pero si alguna vez vas allí, no te recomiendo pasear por la ciudad un sábado por la tarde; las aceras están abarrotadas y te empujan sin miramientos.

253. [82|narrative] Aquel mismo día, Bruno se llevó una desagradable sorpresa al enterarse de que el teniente Kotler iba a cenar en su casa con él, Gretel y sus padres.

254. [82|narrative] Le he pedido que nos deje leer aunque sólo sea un día a la semana, pero me ha dicho que no, al menos mientras él se encargue de nuestra educación.

255. [82|narrative] Se planteó hablar con Padre o Madre acerca de ello, pero sospechaba que o bien se enfadarían o bien le dirían algo desagradable acerca de Shmuel y su familia, así que hizo algo muy inusual: decidió hablar con la tonta de remate.

256. [82|narrative] Hasta que un buen día Padre llamó a Bruno y Gretel a su despacho y les comunicó los cambios que se avecinaban.

257. [82|narrative] Por su parte, Shmuel sintió ganas de abrazar a Bruno y darle las gracias por sus muchos detalles, por todas las veces que le había llevado comida y porque iba a ayudarlo a encontrar a su padre.

258. [82|narrative] No estaban muy seguros de qué andaban buscando, aunque Bruno seguía sosteniendo que un buen explorador sabe cuándo ha encontrado una pista.

259. [82|narrative] Se quedó en Auchviz varios meses, esperando noticias de Bruno, hasta que un día, de repente, pensó que quizá su hijo había vuelto a casa solo.

260. [81|descriptive] Y Daniel había dicho que su padre era maestro, y Bruno sabía que era verdad porque enseñaba a los chicos mayores, aquellos a quienes no era conveniente acercarse.

261. [81|descriptive] Bajaba desde el último piso hasta el siguiente, donde se encontraban el dormitorio de sus padres y el cuarto de baño grande que no le dejaban utilizar.

262. [81|descriptive] Hasta entonces, lo único que había visto era el bosque hacia el que estaba orientada su ventana; parecía un poco oscuro, pero quizá más allá hubiera algún claro donde hacer rae^ riendas campestres.

263. [81|descriptive] Como de costumbre, había muchos camiones y jeeps militares aparcados cerca de la casa, y aunque Bruno sabía que era imposible robarles un neumático, siempre cabía la posibilidad de encontrar uno suelto en alguna parte.

264. [81|descriptive] Aquello no tenía ningún sentido para Bruno, pero a Gretel le hizo tanta gracia que empezó a sacudirse como si bailara sin moverse del sitio.

265. [81|descriptive] Bruno siempre sabía cuándo una reunión familiar estaba a punto de animarse: la Abuela se situaba cerca del piano hasta que alguien se sentaba en la banqueta y le pedía que cantara.

266. [81|descriptive] Era verdaderamente especial, hacía que destacara entre los otros soldados que entraban y salían de la casa, y daba la impresión de que ellos lo respetaban más desde que llevaba su uniforme nuevo.

267. [81|dialogue] Quizá haya llegado el momento de empezar.» 100 Y a continuación, antes de poder cambiar de opinión, saltó de la cama, revolvió en su armario en busca de un abrigo y un par de botas viejas —el atuendo propio de los exploradores—, y se preparó para salir de la casa.

268. [81|descriptive] Shmuel lo miró fijamente sin decir nada, y Bruno sintió el impulso de cambiar de tema, pues incluso al pronunciar aquellas palabras le pareció que no sonaban del todo bien, y no quería que Shmuel pensara que estaba siendo descortés.

269. [81|dialogue] El teniente Kotler se puso furioso con Pavel y nadie —ni Bruno, ni Gretel, ni Madre, ni siquiera Padre— intervino para impedir que hiciera lo que hizo a continuación, aunque ninguno de ellos tuvo valor para mirar.

270. [81|dialogue] Cuando se vio en el espejo, Bruno no pudo evitar pensar cuánto se parecía a Shmuel, y se preguntó si todos los del otro lado de la alambrada tendrían también piojos y por eso los habían rapado.

271. [81|poetic] Pero con el tiempo la situación había cambiado, sobre todo gracias a Shmuel, que se había convertido para él en una persona más importante de lo que Karl, Daniel o Martin lo habían sido nunca.

272. [81|descriptive] Al principio le produjo una sensación muy desagradable pisar descalzo el barro; los pies se hundieron hasta los tobillos y cada vez que levantaba uno era peor.

273. [81|narrative] Irrumpió en la habitación de Gretel sin llamar a la puerta y la encontró distribuyendo su ejército de muñecas por los estantes de las paredes.

274. [81|narrative] Abrió la boca para decir algo, pero no encontró palabras para expresar su sorpresa, así que hizo lo único sensato que se le ocurrió: volver a cerrarla.

275. [81|narrative] Porque ahora será mejor que ayude a mi familia a instalarse, o tendré más problemas aquí dentro de los que tienen ellos ahí fuera, ya me comprenden.

276. [81|narrative] Nadie sabía con qué los sorprendería la Abuela la siguiente ocasión, pero, una semana antes de Navidad, hacía ir a Bruno y Gretel a su casa todos los días para ensayar.

277. [81|narrative] Un buen día tomó papel y pluma, se sentó y le contó lo desgraciado que se sentía allí y cuánto deseaba volver a su hogar de Berlín.

278. [81|narrative] Las criadas seguían lavando, barriendo, cocinando, limpiando, sirviendo, recogiendo, y nunca hablaban con nadie a menos que alguien se dirigiera a ellas.

279. [81|narrative] Bruno llevaba meses mirando por la ventana de su dormitorio y contemplando el jardín, el banco con la placa, la alta alambrada, los postes de madera y las demás cosas que le había descrito a la Abuela en su última carta.

280. [81|narrative] Los del pijama se ponían en posición de firmes cuando se les acercaban los soldados, y a veces se caían al suelo y ni siquiera se levantaban y tenían que llevárselos.

281. [81|narrative] Le vi nieron a la mente Karl, Daniel y Martin, sus tres mejores amigos para toda la vida, recordó cómo se 110 divertían juntos en Berlín y se dio cuenta de lo solo que se había sentido en Auchviz.

282. [81|narrative] Bruno no oyó mucho más porque las voces se estaban acercando a la puerta y siempre cabía la posibilidad de que Madre saliera hecha una furia en busca de licor medicinal, así que subió la escalera a toda prisa.

283. [81|narrative] Sin embargo, había oído suficiente para saber que tal vez regresaran a Berlín, y le sorprendió comprobar que no sabía qué sentir al respecto.

284. [81|narrative] Bruno sonrió al verlo sentarse en el suelo y sacó de su bolsillo el trozo de pan y la manzana que había llevado de casa para dárselos.

285. [80|dialogue] Bruno asintió y se alejó cabizbajo, consciente de que «ciertas personas» era una expresión que utilizaban los adultos y que significaba «Padre», y que él no debía emplearla.

286. [80|descriptive] La nueva, en cambio, estaba aislada, en un sitio vacío y desolado, y no había ninguna otra casa cerca, lo que significaba que no habría otras familias en el vecindario ni otros niños con los que jugar, ni amigos ni rivales.

287. [80|descriptive] La casa de Berlín era enorme, y pese a que Bruno había vivido nueve años en ella, todavía encontraba rincones y recovecos que no había explorado a fondo.

288. [80|poetic] Otra ventaja de verse obligado a permanecer en la casa nueva un tiempo, incluso un mes entero, era que quizá hubiera crecido cuando volvieran a su verdadera casa, y entonces ellas ya no podrían maltratarlo.

289. [80|descriptive] Bruno se levantó y por primera vez ambos miraron juntos por la ventana, pegados el uno al otro, contemplando lo que pasaba más allá de aquella alambrada levantada a menos de quince metros de su nuevo hogar.

290. [80|descriptive] Estaba triste porque Padre no había subido a verlo durante la hora, más o menos, que él llevaba en la casa nueva, aunque ya le habían explicado que Padre estaba muy ocupado y no había que molestarlo por tonterías como un saludo.

291. [80|descriptive] Padre decidió que era hora de que los niños reanudaran sus estudios, y aunque a Bruno le parecía ridículo que montaran una escuela sólo para dos alumnos, Madre y Padre coincidieron en que necesitaban un profesor particular que acudiera a la casa todos los días para llenarlos de clases las mañanas y las tardes.

292. [80|dialogue] Durante su exploración había descubierto una cosa, y ahora que por fin estaba hablando con alguien del otro lado de la alambrada se dijo que no podía estropear la oportunidad de informarse.

293. [80|descriptive] Lo que mejor recordaba eran las obras de teatro que representaban el día de Navidad y en los cumpleaños, y que la Abuela siempre tenía el disfraz perfecto para el papel que a Bruno le correspondía interpretar.

294. [80|descriptive] No tenía nadie con quien hablar, y la única persona con la que había trabado alguna amistad, el joven teniente Kotler, había sido destinada a otro sitio.

295. [80|descriptive] Bruno estaba feliz con la perspectiva de una gran aventura; por fin tendría la oportunidad de ver qué pasaba al otro lado de la alambrada antes de volver a Berlín (y además podría explorar un poco en serio).

296. [80|descriptive] Además, todavía era temprano y podían pasar muchas cosas desde aquel momento hasta última hora de la tarde, que era cuando solían encontrarse los dos amigos.

297. [80|descriptive] Le habría gustado decirles que no se preocuparan, que Padre era el comandante, y que si él quería que la gente hiciera aquellas cosas, no había nada que temer.

298. [80|descriptive] Bruno arqueó una ceja; no entendía qué pasaba, pero dedujo que tenía que ver con protegerlos de la lluvia para que la gente no se resfriara.

299. [80|narrative] Daba la impresión de que a las amigas antipáticas de Gretel no había nada que les gustara más que torturarlo y decirle cosas desagradables cuando no estaban cerca Madre ni Maria.

300. [80|narrative] Gretel siguió la dirección que señalaba el dedo de su hermano y vio salir de una lejana cabana a un grupo de niños y a unos soldados que les gritaban.

301. [80|narrative] Bruno creyó que Maria le daría su propia opinión, pero se limitó a dejar el resto de la ropa encima de la cama y apretar los puños, como si estuviera muy enfadada por algo.

302. [80|narrative] Bruno asintió y mantuvo la pierna estirada encima del taburete mientras Pavel iba al fregadero y se lavaba concienzudamente las manos, frotándose incluso debajo de las uñas con un cepillo, antes de secárselas y volver a las patatas.

303. [80|narrative] Aunque el Abuelo ya no cocinaba ni servía mesas, se pasaba el día en el restaurante; por la tarde se sentaba a la barra y charlaba con los clientes, y por la noche cenaba allí y se quedaba hasta la hora de cerrar, riendo con sus amigos.

304. [80|narrative] Sin embargo, las voces de Madre y Padre llegaban muy amortiguadas, la del Abuelo no se oía, y la Abuela arrastraba mucho las palabras y apenas se la entendía.

305. [80|narrative] El niño se quedó mirándolo y empezó a pensar en siete razones más por las que el teniente no le caía bien.

306. [80|narrative] En su lugar había colgado unos mapas de Europa que Padre le había regalado, y todos los días clavaba alfileres en ellos y desplazaba los alfileres constantemente tras consultar el periódico.

